Rank,Province,Capital,Region,Island Group,2020,2000,2010,2015
1,Metro Manila,Manila,NCR,Luzon,13484462,9932560,11855975,12877253
2,Cebu,Cebu City,VII,Visayas,5151274,3356137,4167320,4632359
3,Cavite,Imus,IV-A,Luzon,4344829,2063161,3090691,3678301
4,Bulacan,Malolos,III,Luzon,3708890,2234088,2924433,3292071
5,Laguna,Santa Cruz,IV-A,Luzon,3382193,1965872,2669847,3035081
6,Rizal,Antipolo,IV-A,Luzon,3330143,1707218,2484840,2884227
7,Negros Occidental,Bacolod,VI,Visayas,3223955,2565723,2907859,3059136
8,Pangasinan,Lingayen,I,Luzon,3163190,2434086,2779862,2956726
9,Batangas,Batangas City,IV-A,Luzon,2908494,1905348,2377395,2694335
10,Pampanga,San Fernando,III,Luzon,2900637,1882730,2340355,2609744
11,Iloilo,Iloilo City,VI,Visayas,2509525,1925573,2230195,2384415
12,Davao del Sur,Digos,XI,Mindanao,2457430,1651405,2024206,2265579
13,Nueva Ecija,Palayan,III,Luzon,2310134,1659883,1955373,2151461
14,Quezon,Lucena,IV-A,Luzon,2229383,1679030,1987030,2122830
15,Camarines Sur,Pili,V,Luzon,2068244,1551549,1822371,1952544
16,Leyte,Tacloban,VIII,Visayas,2028728,1592336,1789158,1966768
17,Zamboanga del Sur,Pagadian,IX,Mindanao,2027902,1438011,1766814,1872473
18,Isabela,Ilagan,II,Luzon,1697050,1287575,1489645,1593566
19,Misamis Oriental,Cagayan de Oro,X,Mindanao,1685302,1126215,1415944,1564459
20,South Cotabato,Koronadal,XII,Mindanao,1672791,1102550,1365286,1509735
21,Maguindanao,Datu Odin Sinsuat / Buluan,BARMM,Mindanao,1667258,964951,1216504,1473371
22,Bukidnon,Malaybalay,X,Mindanao,1541308,1060415,1299192,1415226
23,Tarlac,Tarlac City,III,Luzon,1503456,1068783,1273240,1366027
24,Cotabato,Kidapawan,XII,Mindanao,1490618,958643,1226508,1379747
25,Negros Oriental,Dumaguete,VII,Visayas,1432990,1130088,1286666,1354995
26,Bohol,Tagbilaran,VII,Visayas,1394329,1139130,1255128,1313560
27,Albay,Legazpi,V,Luzon,1374768,1090907,1233432,1314826
28,Cagayan,Tuguegarao,II,Luzon,1268603,993580,1124773,1199320
29,Palawan,Puerto Princesa,Mimaropa,Luzon,1246673,755412,994340,1104585
30,Lanao del Sur,Marawi,BARMM,Mindanao,1195518,800162,933260,1045429
31,Davao del Norte,Tagum,XI,Mindanao,1125057,743811,945764,1016332
32,Lanao del Norte,Tubod,X,Mindanao,1086017,758123,930738,1019013
33,Zamboanga del Norte,Dipolog,IX,Mindanao,1047455,823130,957997,1011393
34,Sulu,Jolo,BARMM,Mindanao,1000108,619668,718290,824731
35,Zambales,Iba,III,Luzon,909932,627802,755621,823888
36,Masbate,Masbate City,V,Luzon,908920,707668,834650,892393
37,Oriental Mindoro,Calapan,Mimaropa,Luzon,908339,681818,785602,844059
38,Sultan Kudarat,Isulan,XII,Mindanao,854052,586505,747087,812095
39,Bataan,Balanga,III,Luzon,853373,557659,687482,760650
